,Адрес,Вид ДТП,Время,Дата,Долгота,Число погибших,Число раненых,Широта
113,Советский район,Наезд на пешехода,10:45,29.10.2016,54.1819,,,37.5797
114,Центральный район,Наезд на пешехода,18:20,28.10.2016,54.1689,,,37.6006
115,Центральный район,Наезд на пешехода,15:54,23.10.2016,54.3125,,,37.1358
116,Зареченский район,Наезд на пешехода,08:50,22.10.2016,54.2078,,,37.6225
117,Привокзальный район,Наезд на пешехода,09:00,20.10.2016,54.1517,,,37.5881
118,Центральный район,Наезд на пешехода,11:45,18.10.2016,54.1858,,,37.6192
119,Советский район,Наезд на пешехода,17:30,18.10.2016,54.1692,,,37.5867
120,Зареченский район,Наезд на пешехода,07:40,18.10.2016,54.2144,,,37.6064
121,Советский район,Наезд на пешехода,13:20,17.10.2016,54.1883,,,37.6
122,Центральный район,Наезд на пешехода,14:20,17.10.2016,54.1814,,,37.6322
123,Зареченский район,Наезд на пешехода,08:30,14.11.2016,54.2869,,,37.615
124,Советский район,Наезд на пешехода,18:50,12.11.2016,54.1917,,,37.5692
125,Пролетарский район,Наезд на пешехода,10:05,12.11.2016,54.1858,,,37.6428
126,Зареченский район,Наезд на пешехода,05:55,11.11.2016,54.2106,,,37.6025
127,Привокзальный район,Наезд на пешехода,16:50,11.11.2016,54.1683,,,37.5672
128,Зареченский район,Наезд на пешехода,08:00,11.11.2016,54.2186,,,37.6186
129,Советский район,Наезд на пешехода,11:40,09.11.2016,54.1703,,,37.5692
130,Советский район,Наезд на пешехода,17:55,04.11.2016,54.1908,,,37.6033
131,Пролетарский район,Наезд на пешехода,17:55,03.11.2016,54.1853,,,37.6344
132,Советский район,Наезд на пешехода,13:00,02.11.2016,54.1858,,,37.6017
133,Привокзальный район,Наезд на пешехода,11:00,30.11.2016,54.1939,,,37.5522
134,Пролетарский район,Наезд на пешехода,17:50,30.11.2016,54.1306,,,37.5867
135,Пролетарский район,Наезд на пешехода,17:50,30.11.2016,54.1306,,,37.5867
136,Пролетарский район,Наезд на пешехода,17:50,30.11.2016,54.1306,,,37.5867
137,Центральный район,Наезд на пешехода,11:30,29.11.2016,54.1019,,,37.585
138,Привокзальный район,Наезд на пешехода,20:15,28.11.2016,54.1844,,,37.5203
139,Привокзальный район,Наезд на пешехода,08:03,25.11.2016,54.1922,,,37.5364
140,Зареченский район,Наезд на пешехода,06:20,23.11.2016,54.2022,,,37.6178
141,Привокзальный район,Наезд на пешехода,20:35,22.11.2016,54.1853,,,37.5372
142,Зареченский район,Наезд на пешехода,18:10,20.11.2016,54.2022,,,37.6275
143,Зареченский район,Наезд на пешехода,18:10,20.11.2016,54.2022,,,37.6275
144,Советский район,Наезд на пешехода,07:55,20.11.2016,54.1972,,,37.5853
145,Пролетарский район,Наезд на пешехода,10:10,18.11.2016,54.2017,,,37.6519
146,Центральный район,Наезд на пешехода,13:30,18.11.2016,54.1719,,,37.5856
147,Пролетарский район,Наезд на пешехода,11:25,17.11.2016,54.2017,,,37.6519
148,Пролетарский район,Наезд на пешехода,21:10,16.11.2016,54.203044999999996,,,37.642333
149,Зареченский район,Наезд на пешехода,08:50,14.12.2016,54.2019,,,37.6189
150,Привокзальный район,Наезд на пешехода,08:15,14.12.2016,54.18956,,,37.57161
151,Центральный район,Наезд на пешехода,08:38,13.12.2016,54.1525,,,37.5839
152,Пролетарский район,Наезд на пешехода,17:10,11.12.2016,54.3083,,,37.6636
153,Центральный район,Наезд на пешехода,23:10,11.12.2016,54.3192,,,37.1003
154,Зареченский район,Наезд на пешехода,07:00,08.12.2016,54.2025,,,37.6186
155,Привокзальный район,Наезд на пешехода,07:50,07.12.2016,54.1683,,,37.5669
156,Привокзальный район,Наезд на пешехода,07:50,07.12.2016,54.1683,,,37.5669
157,Привокзальный район,Наезд на пешехода,07:50,07.12.2016,54.1683,,,37.5669
158,Советский район,Наезд на пешехода,14:30,06.12.2016,54.1819,,,37.5822
159,Привокзальный район,Наезд на пешехода,14:10,05.12.2016,54.1525,,,37.5836
160,Пролетарский район,Наезд на пешехода,19:45,02.12.2016,54.185,,,37.6986
161,Привокзальный район,Наезд на пешехода,08:10,30.12.2016,54.2122,,,37.5828
162,Пролетарский район,Наезд на пешехода,16:00,30.12.2016,54.13,,,37.5861
163,Пролетарский район,Наезд на пешехода,17:15,30.12.2016,54.215,,,37.6517
164,Центральный район,Наезд на пешехода,15:40,28.12.2016,54.155,,,37.585
165,Пролетарский район,Наезд на пешехода,07:45,28.12.2016,54.2283,,,37.6689
166,Центральный район,Наезд на пешехода,10:30,26.12.2016,54.1517,,,37.5953
167,Пролетарский район,Наезд на пешехода,06:30,26.12.2016,54.182919999999996,,,37.694309999999994
168,Привокзальный район,Наезд на пешехода,22:15,25.12.2016,54.1517,,,37.5839
169,Советский район,Наезд на пешехода,14:40,23.12.2016,54.1972,,,37.5844
170,Пролетарский район,Наезд на пешехода,15:30,22.12.2016,54.1856,,,37.6386
171,Привокзальный район,Наезд на пешехода,18:30,19.12.2016,54.1639,,,37.5875
172,Пролетарский район,Наезд на пешехода,16:10,19.12.2016,54.2036,,,37.6689
173,Привокзальный район,Наезд на пешехода,12:45,18.12.2016,54.1917,,,37.5686
174,Привокзальный район,Наезд на пешехода,10:10,14.01.2017,54.1169,,,37.5353
175,Пролетарский район,Наезд на пешехода,00:10,13.01.2017,54.1947,,,37.6828
176,Привокзальный район,Наезд на пешехода,18:10,12.01.2017,54.20698,,,37.55208
177,Советский район,Наезд на пешехода,17:10,10.01.2017,54.2853,,,37.9519
178,Пролетарский район,Наезд на пешехода,08:30,09.01.2017,54.1856,,,37.6392
179,Центральный район,Наезд на пешехода,20:50,07.01.2017,54.161530000000006,,,37.59462
180,Пролетарский район,Наезд на пешехода,23:03,05.01.2017,54.1856,,,37.6589
181,Пролетарский район,Наезд на пешехода,15:08,05.01.2017,54.2156,,,37.36
182,Советский район,Наезд на пешехода,04:15,03.01.2017,54.1689,,,37.5678
183,Советский район,Наезд на пешехода,10:15,25.01.2017,54.1678,,,37.5689
184,Советский район,Наезд на пешехода,16:20,23.01.2017,54.1856,,,37.6008
185,Центральный район,Наезд на пешехода,07:10,20.01.2017,54.112730000000006,,,37.367059999999995
186,Зареченский район,Наезд на пешехода,09:45,19.01.2017,54.2072,,,37.6236
187,Советский район,Наезд на пешехода,14:30,19.01.2017,54.2942,,,37.38776
188,Советский район,Наезд на пешехода,17:10,18.01.2017,54.11625,,,37.35044
189,Центральный район,Наезд на пешехода,07:00,17.01.2017,54.1533,,,37.6422
190,Пролетарский район,Наезд на пешехода,18:45,15.02.2017,54.1272,,,37.5344
191,Центральный район,Наезд на пешехода,21:00,15.02.2017,54.1678,,,37.6342
192,Центральный район,Наезд на пешехода,19:00,09.02.2017,54.1778,,,37.6389
193,Пролетарский район,Наезд на пешехода,08:15,08.02.2017,54.3358,,,37.1158
194,Зареченский район,Наезд на пешехода,18:44,07.02.2017,54.2314,,,37.6278
195,Пролетарский район,Наезд на пешехода,11:05,06.02.2017,54.1689,,,37.6058
196,Зареченский район,Наезд на пешехода,16:20,05.02.2017,54.3506,,,37.1017
197,Зареченский район,Наезд на пешехода,07:50,04.02.2017,54.3517,,,37.1111
198,Привокзальный район,Наезд на пешехода,14:30,02.02.2017,54.1236,,,34.535
199,Пролетарский район,Наезд на пешехода,16:30,02.02.2017,54.3342,,,37.1022
200,Пролетарский район,Наезд на пешехода,13:05,01.02.2017,54.3308,,,37.1147
201,Пролетарский район,Наезд на пешехода,18:43,01.03.2017,54.6189,,,37.6389
202,Зареченский район,Наезд на пешехода,08:00,01.03.2017,54.2203,,,37.6228
203,Пролетарский район,Наезд на пешехода,23:50,01.03.2017,54.2017,,,37.6419
204,Центральный район,Наезд на пешехода,07:25,28.02.2017,54.2686,,,37.9858
205,Пролетарский район,Наезд на пешехода,13:20,22.02.2017,54.3339,,,37.1006
206,Центральный район,Наезд на пешехода,10:30,22.02.2017,54.2506,,,37.9678
207,Центральный район,Наезд на пешехода,18:40,22.02.2017,54.1803,,,37.1017
